areacd,areanm,geography,period,unit,communication_and_language,communication_measure,communication_lower_confidence_interval_95,communication_upper_confidence_interval_95,communication_observation_status,literacy,literacy_measure,literacy_lower_confidence_interval_95,literacy_upper_confidence_interval_95,literacy_observation_status,mathematics,mathematics_measure,mathematics_lower_confidence_interval_95,mathematics_upper_confidence_interval_95,mathematics_observation_status
E92000001,England,Nation,2022-09-01T00:00:00/P1Y,%,79.7,Percentage,,,,69.7,Percentage,,,,77.1,Percentage,,,
E92000001,England,Nation,2021-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,68.0,Percentage,,,,75.9,Percentage,,,
K99000004,Outside of England and Unknown,Region,2021-09-01T00:00:00/P1Y,%,75.8,Percentage,,,,60.7,Percentage,,,,68.1,Percentage,,,
K99000004,Outside of England and Unknown,Region,2022-09-01T00:00:00/P1Y,%,76.0,Percentage,,,,60.9,Percentage,,,,71.2,Percentage,,,
E12000001,North East,Region,2021-09-01T00:00:00/P1Y,%,79.0,Percentage,,,,66.6,Percentage,,,,74.2,Percentage,,,
E12000001,North East,Region,2022-09-01T00:00:00/P1Y,%,78.9,Percentage,,,,68.4,Percentage,,,,75.6,Percentage,,,
E47000006,Tees Valley,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,76.7,Percentage,,,,67.4,Percentage,,,,74.0,Percentage,,,
E47000006,Tees Valley,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,76.3,Percentage,,,,66.2,Percentage,,,,72.9,Percentage,,,
E47000014,North East,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,80.1,Percentage,,,,66.8,Percentage,,,,74.7,Percentage,,,
E47000014,North East,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,79.7,Percentage,,,,68.8,Percentage,,,,76.2,Percentage,,,
E06000047,County Durham,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,77.9,Percentage,,,,68.7,Percentage,,,,75.1,Percentage,,,
E06000047,County Durham,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,79.1,Percentage,,,,67.2,Percentage,,,,74.8,Percentage,,,
E06000005,Darlington,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,76.4,Percentage,,,,66.7,Percentage,,,,73.5,Percentage,,,
E06000005,Darlington,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,76.7,Percentage,,,,67.7,Percentage,,,,74.9,Percentage,,,
E06000001,Hartlepool,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,76.0,Percentage,,,,66.5,Percentage,,,,73.1,Percentage,,,
E06000001,Hartlepool,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,76.1,Percentage,,,,67.8,Percentage,,,,73.5,Percentage,,,
E06000002,Middlesbrough,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,69.8,Percentage,,,,59.0,Percentage,,,,65.4,Percentage,,,
E06000002,Middlesbrough,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,71.1,Percentage,,,,62.3,Percentage,,,,67.8,Percentage,,,
E06000057,Northumberland,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,81.5,Percentage,,,,71.3,Percentage,,,,79.7,Percentage,,,
E06000057,Northumberland,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,82.2,Percentage,,,,70.1,Percentage,,,,78.5,Percentage,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,76.9,Percentage,,,,67.3,Percentage,,,,74.6,Percentage,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,79.4,Percentage,,,,69.3,Percentage,,,,76.1,Percentage,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.5,Percentage,,,,70.1,Percentage,,,,77.2,Percentage,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,80.5,Percentage,,,,71.5,Percentage,,,,78.8,Percentage,,,
E08000037,Gateshead,Local Authority District,2021-09-01T00:00:00/P1Y,%,85.5,Percentage,,,,65.9,Percentage,,,,75.1,Percentage,,,
E08000037,Gateshead,Local Authority District,2022-09-01T00:00:00/P1Y,%,85.0,Percentage,,,,69.8,Percentage,,,,76.3,Percentage,,,
E08000021,Newcastle upon Tyne,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.2,Percentage,,,,64.1,Percentage,,,,73.0,Percentage,,,
E08000021,Newcastle upon Tyne,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.2,Percentage,,,,65.8,Percentage,,,,73.8,Percentage,,,
E08000022,North Tyneside,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.1,Percentage,,,,65.7,Percentage,,,,73.8,Percentage,,,
E08000022,North Tyneside,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.6,Percentage,,,,68.5,Percentage,,,,77.8,Percentage,,,
E08000023,South Tyneside,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,71.4,Percentage,,,,77.1,Percentage,,,
E08000023,South Tyneside,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,67.8,Percentage,,,,73.9,Percentage,,,
E08000024,Sunderland,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.2,Percentage,,,,66.2,Percentage,,,,73.0,Percentage,,,
E08000024,Sunderland,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.4,Percentage,,,,67.8,Percentage,,,,75.2,Percentage,,,
E12000002,North West ,Region,2021-09-01T00:00:00/P1Y,%,76.5,Percentage,,,,64.6,Percentage,,,,72.9,Percentage,,,
E12000002,North West ,Region,2022-09-01T00:00:00/P1Y,%,77.1,Percentage,,,,66.7,Percentage,,,,74.3,Percentage,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,74.7,Percentage,,,,65.9,Percentage,,,,72.2,Percentage,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,74.6,Percentage,,,,66.0,Percentage,,,,72.4,Percentage,,,
E06000009,Blackpool,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,73.7,Percentage,,,,62.3,Percentage,,,,72.0,Percentage,,,
E06000009,Blackpool,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,75.6,Percentage,,,,66.2,Percentage,,,,72.5,Percentage,,,
E06000049,Cheshire East,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.1,Percentage,,,,70.0,Percentage,,,,77.2,Percentage,,,
E06000049,Cheshire East,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,81.3,Percentage,,,,72.2,Percentage,,,,79.6,Percentage,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,70.3,Percentage,,,,77.5,Percentage,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,82.1,Percentage,,,,70.2,Percentage,,,,78.5,Percentage,,,
E06000006,Halton,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,77.9,Percentage,,,,61.7,Percentage,,,,71.9,Percentage,,,
E06000006,Halton,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,76.5,Percentage,,,,64.2,Percentage,,,,71.8,Percentage,,,
E06000007,Warrington,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,79.9,Percentage,,,,71.7,Percentage,,,,78.9,Percentage,,,
E06000007,Warrington,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.4,Percentage,,,,71.5,Percentage,,,,79.8,Percentage,,,
E10000006,Cumbria ,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.2,Percentage,,,,65.5,Percentage,,,,74.2,Percentage,,,
E06000063,Cumberland,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,79.4,Percentage,,,,63.9,Percentage,,,,72.0,Percentage,,,
E06000063,Cumberland,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,82.1,Percentage,,,,69.0,Percentage,,,,75.3,Percentage,,,
E06000064,Westmorland and Furness,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,81.9,Percentage,,,,69.0,Percentage,,,,77.1,Percentage,,,
E06000064,Westmorland and Furness,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,83.7,Percentage,,,,67.8,Percentage,,,,77.3,Percentage,,,
E07000026,Allerdale,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.7,Percentage,,,,66.1,Percentage,,,,74.3,Percentage,,,
E07000027,Barrow-in-Furness,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.5,Percentage,,,,61.2,Percentage,,,,69.3,Percentage,,,
E07000028,Carlisle,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.8,Percentage,,,,60.8,Percentage,,,,70.2,Percentage,,,
E07000029,Copeland,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.0,Percentage,,,,65.6,Percentage,,,,71.4,Percentage,,,
E07000030,Eden,Local Authority District,2021-09-01T00:00:00/P1Y,%,84.4,Percentage,,,,68.5,Percentage,,,,79.2,Percentage,,,
E07000031,South Lakeland,Local Authority District,2021-09-01T00:00:00/P1Y,%,88.0,Percentage,,,,72.4,Percentage,,,,82.2,Percentage,,,
E47000001,Greater Manchester,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,75.7,Percentage,,,,65.5,Percentage,,,,73.2,Percentage,,,
E47000001,Greater Manchester,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,75.1,Percentage,,,,63.3,Percentage,,,,71.4,Percentage,,,
E08000001,Bolton,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.2,Percentage,,,,66.1,Percentage,,,,72.1,Percentage,,,
E08000001,Bolton,Local Authority District,2021-09-01T00:00:00/P1Y,%,75.9,Percentage,,,,65.8,Percentage,,,,72.0,Percentage,,,
E08000002,Bury,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,68.0,Percentage,,,,75.9,Percentage,,,
E08000002,Bury,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.0,Percentage,,,,66.1,Percentage,,,,74.5,Percentage,,,
E08000003,Manchester,Local Authority District,2021-09-01T00:00:00/P1Y,%,68.0,Percentage,,,,55.4,Percentage,,,,63.9,Percentage,,,
E08000003,Manchester,Local Authority District,2022-09-01T00:00:00/P1Y,%,69.7,Percentage,,,,60.2,Percentage,,,,67.4,Percentage,,,
E08000004,Oldham ,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.4,Percentage,,,,64.4,Percentage,,,,71.2,Percentage,,,
E08000004,Oldham ,Local Authority District,2021-09-01T00:00:00/P1Y,%,73.0,Percentage,,,,62.5,Percentage,,,,69.1,Percentage,,,
E08000005,Rochdale,Local Authority District,2022-09-01T00:00:00/P1Y,%,74.3,Percentage,,,,64.2,Percentage,,,,72.3,Percentage,,,
E08000005,Rochdale,Local Authority District,2021-09-01T00:00:00/P1Y,%,73.9,Percentage,,,,61.8,Percentage,,,,69.7,Percentage,,,
E08000006,Salford,Local Authority District,2021-09-01T00:00:00/P1Y,%,73.4,Percentage,,,,60.5,Percentage,,,,71.0,Percentage,,,
E08000006,Salford,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.4,Percentage,,,,64.1,Percentage,,,,74.0,Percentage,,,
E08000007,Stockport,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.5,Percentage,,,,69.5,Percentage,,,,77.8,Percentage,,,
E08000007,Stockport,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.4,Percentage,,,,68.2,Percentage,,,,77.4,Percentage,,,
E08000008,Tameside,Local Authority District,2021-09-01T00:00:00/P1Y,%,76.2,Percentage,,,,63.0,Percentage,,,,71.3,Percentage,,,
E08000008,Tameside,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.3,Percentage,,,,64.2,Percentage,,,,73.2,Percentage,,,
E08000009,Trafford,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.7,Percentage,,,,75.0,Percentage,,,,81.8,Percentage,,,
E08000009,Trafford,Local Authority District,2021-09-01T00:00:00/P1Y,%,84.7,Percentage,,,,74.7,Percentage,,,,82.1,Percentage,,,
E08000010,Wigan,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.7,Percentage,,,,66.0,Percentage,,,,73.4,Percentage,,,
E08000010,Wigan,Local Authority District,2021-09-01T00:00:00/P1Y,%,75.3,Percentage,,,,64.6,Percentage,,,,72.5,Percentage,,,
E10000017,Lancashire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,78.1,Percentage,,,,67.5,Percentage,,,,75.3,Percentage,,,
E10000017,Lancashire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,76.5,Percentage,,,,65.3,Percentage,,,,73.7,Percentage,,,
E07000117,Burnley,Local Authority District,2022-09-01T00:00:00/P1Y,%,68.0,Percentage,,,,59.0,Percentage,,,,65.8,Percentage,,,
E07000117,Burnley,Local Authority District,2021-09-01T00:00:00/P1Y,%,68.4,Percentage,,,,56.7,Percentage,,,,64.9,Percentage,,,
E07000118,Chorley,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.2,Percentage,,,,69.1,Percentage,,,,76.7,Percentage,,,
E07000118,Chorley,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.1,Percentage,,,,69.2,Percentage,,,,76.7,Percentage,,,
E07000119,Fylde,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.4,Percentage,,,,76.4,Percentage,,,,81.9,Percentage,,,
E07000119,Fylde,Local Authority District,2021-09-01T00:00:00/P1Y,%,82.2,Percentage,,,,71.8,Percentage,,,,81.8,Percentage,,,
E07000120,Hyndburn,Local Authority District,2021-09-01T00:00:00/P1Y,%,73.3,Percentage,,,,61.9,Percentage,,,,67.1,Percentage,,,
E07000120,Hyndburn,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.7,Percentage,,,,66.7,Percentage,,,,73.7,Percentage,,,
E07000121,Lancaster,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,65.5,Percentage,,,,76.8,Percentage,,,
E07000121,Lancaster,Local Authority District,2022-09-01T00:00:00/P1Y,%,81.9,Percentage,,,,70.6,Percentage,,,,79.3,Percentage,,,
E07000122,Pendle,Local Authority District,2021-09-01T00:00:00/P1Y,%,67.0,Percentage,,,,59.3,Percentage,,,,65.7,Percentage,,,
E07000122,Pendle,Local Authority District,2022-09-01T00:00:00/P1Y,%,73.2,Percentage,,,,63.4,Percentage,,,,70.6,Percentage,,,
E07000123,Preston,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.1,Percentage,,,,67.9,Percentage,,,,75.2,Percentage,,,
E07000123,Preston,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.8,Percentage,,,,65.6,Percentage,,,,72.0,Percentage,,,
E07000124,Ribble Valley,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.9,Percentage,,,,71.9,Percentage,,,,79.7,Percentage,,,
E07000124,Ribble Valley,Local Authority District,2022-09-01T00:00:00/P1Y,%,84.9,Percentage,,,,74.5,Percentage,,,,81.0,Percentage,,,
E07000125,Rossendale,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.3,Percentage,,,,66.8,Percentage,,,,76.2,Percentage,,,
E07000125,Rossendale,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.7,Percentage,,,,67.9,Percentage,,,,77.3,Percentage,,,
E07000126,South Ribble,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.5,Percentage,,,,63.4,Percentage,,,,74.6,Percentage,,,
E07000126,South Ribble,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.6,Percentage,,,,67.0,Percentage,,,,77.2,Percentage,,,
E07000127,West Lancashire,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.8,Percentage,,,,65.4,Percentage,,,,73.8,Percentage,,,
E07000127,West Lancashire,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.9,Percentage,,,,66.6,Percentage,,,,75.7,Percentage,,,
E07000128,Wyre,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.5,Percentage,,,,70.6,Percentage,,,,79.4,Percentage,,,
E07000128,Wyre,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,66.3,Percentage,,,,74.6,Percentage,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,76.2,Percentage,,,,65.5,Percentage,,,,73.3,Percentage,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,75.5,Percentage,,,,63.2,Percentage,,,,72.1,Percentage,,,
E08000011,Knowsley ,Local Authority District,2021-09-01T00:00:00/P1Y,%,73.8,Percentage,,,,60.7,Percentage,,,,69.4,Percentage,,,
E08000011,Knowsley ,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.6,Percentage,,,,65.0,Percentage,,,,72.8,Percentage,,,
E08000012,Liverpool,Local Authority District,2021-09-01T00:00:00/P1Y,%,75.1,Percentage,,,,61.6,Percentage,,,,70.3,Percentage,,,
E08000012,Liverpool,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.6,Percentage,,,,63.5,Percentage,,,,71.0,Percentage,,,
E08000014,Sefton,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.4,Percentage,,,,67.3,Percentage,,,,75.3,Percentage,,,
E08000014,Sefton,Local Authority District,2021-09-01T00:00:00/P1Y,%,76.4,Percentage,,,,64.4,Percentage,,,,73.6,Percentage,,,
E08000013,St. Helens,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.8,Percentage,,,,66.0,Percentage,,,,73.3,Percentage,,,
E08000013,St. Helens,Local Authority District,2021-09-01T00:00:00/P1Y,%,76.2,Percentage,,,,63.3,Percentage,,,,72.2,Percentage,,,
E08000015,Wirral,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.6,Percentage,,,,67.7,Percentage,,,,76.1,Percentage,,,
E08000015,Wirral,Local Authority District,2021-09-01T00:00:00/P1Y,%,74.9,Percentage,,,,66.6,Percentage,,,,75.0,Percentage,,,
E12000003,Yorkshire and The Humber,Region,2021-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,66.6,Percentage,,,,74.5,Percentage,,,
E12000003,Yorkshire and The Humber,Region,2022-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,68.2,Percentage,,,,75.6,Percentage,,,
E06000011,East Riding of Yorkshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,82.0,Percentage,,,,68.9,Percentage,,,,77.8,Percentage,,,
E06000011,East Riding of Yorkshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,83.1,Percentage,,,,71.8,Percentage,,,,79.6,Percentage,,,
E06000010,"Kingston upon Hull, City of",County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,77.3,Percentage,,,,66.8,Percentage,,,,74.9,Percentage,,,
E06000010,"Kingston upon Hull, City of",County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,76.6,Percentage,,,,66.5,Percentage,,,,73.4,Percentage,,,
E06000012,North East Lincolnshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,80.0,Percentage,,,,69.9,Percentage,,,,75.5,Percentage,,,
E06000012,North East Lincolnshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,67.1,Percentage,,,,74.8,Percentage,,,
E06000013,North Lincolnshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,68.7,Percentage,,,,75.5,Percentage,,,
E06000013,North Lincolnshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.1,Percentage,,,,67.1,Percentage,,,,74.8,Percentage,,,
E47000012,York and North Yorkshire,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,83.7,Percentage,,,,71.9,Percentage,,,,79.9,Percentage,,,
E47000012,York and North Yorkshire,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,82.9,Percentage,,,,72.8,Percentage,,,,80.9,Percentage,,,
E06000014,York,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,80.5,Percentage,,,,71.9,Percentage,,,,80.0,Percentage,,,
E06000014,York,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,84.2,Percentage,,,,73.5,Percentage,,,,80.9,Percentage,,,
E06000065,North Yorkshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,83.5,Percentage,,,,71.4,Percentage,,,,79.6,Percentage,,,
E06000065,North Yorkshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,83.6,Percentage,,,,73.0,Percentage,,,,81.2,Percentage,,,
E10000023,North Yorkshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,83.6,Percentage,,,,73.0,Percentage,,,,81.2,Percentage,,,
E10000023,North Yorkshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,83.5,Percentage,,,,71.4,Percentage,,,,79.6,Percentage,,,
E07000163,Craven,Local Authority District,2021-09-01T00:00:00/P1Y,%,82.8,Percentage,,,,72.1,Percentage,,,,78.3,Percentage,,,
E07000163,Craven,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.4,Percentage,,,,73.9,Percentage,,,,81.8,Percentage,,,
