areacd,areanm,geography,period,unit,communication_and_language,communication_measure,communication_lower_confidence_interval_95,communication_upper_confidence_interval_95,communication_observation_status,literacy,literacy_measure,literacy_lower_confidence_interval_95,literacy_upper_confidence_interval_95,literacy_observation_status,mathematics,mathematics_measure,mathematics_lower_confidence_interval_95,mathematics_upper_confidence_interval_95,mathematics_observation_status
E07000164,Hambleton,Local Authority District,2021-09-01T00:00:00/P1Y,%,83.3,Percentage,,,,74.3,Percentage,,,,82.1,Percentage,,,
E07000164,Hambleton,Local Authority District,2022-09-01T00:00:00/P1Y,%,84.0,Percentage,,,,74.9,Percentage,,,,82.7,Percentage,,,
E07000165,Harrogate,Local Authority District,2022-09-01T00:00:00/P1Y,%,84.0,Percentage,,,,74.2,Percentage,,,,82.5,Percentage,,,
E07000165,Harrogate,Local Authority District,2021-09-01T00:00:00/P1Y,%,84.5,Percentage,,,,72.6,Percentage,,,,81.4,Percentage,,,
E07000166,Richmondshire,Local Authority District,2021-09-01T00:00:00/P1Y,%,83.2,Percentage,,,,69.3,Percentage,,,,80.3,Percentage,,,
E07000166,Richmondshire,Local Authority District,2022-09-01T00:00:00/P1Y,%,88.4,Percentage,,,,74.4,Percentage,,,,84.8,Percentage,,,
E07000167,Ryedale,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.0,Percentage,,,,68.1,Percentage,,,,78.1,Percentage,,,
E07000167,Ryedale,Local Authority District,2022-09-01T00:00:00/P1Y,%,82.1,Percentage,,,,69.7,Percentage,,,,79.0,Percentage,,,
E07000168,Scarborough,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.1,Percentage,,,,67.3,Percentage,,,,76.1,Percentage,,,
E07000168,Scarborough,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,68.1,Percentage,,,,74.7,Percentage,,,
E07000169,Selby,Local Authority District,2021-09-01T00:00:00/P1Y,%,86.8,Percentage,,,,73.0,Percentage,,,,78.9,Percentage,,,
E07000169,Selby,Local Authority District,2022-09-01T00:00:00/P1Y,%,85.1,Percentage,,,,74.7,Percentage,,,,83.1,Percentage,,,
E47000002,South Yorkshire,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,79.8,Percentage,,,,66.9,Percentage,,,,74.1,Percentage,,,
E47000002,South Yorkshire,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,79.6,Percentage,,,,68.6,Percentage,,,,75.4,Percentage,,,
E08000016,Barnsley,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.4,Percentage,,,,70.2,Percentage,,,,76.4,Percentage,,,
E08000016,Barnsley,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.5,Percentage,,,,68.2,Percentage,,,,75.0,Percentage,,,
E08000017,Doncaster,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.2,Percentage,,,,68.5,Percentage,,,,74.6,Percentage,,,
E08000017,Doncaster,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.2,Percentage,,,,66.4,Percentage,,,,73.4,Percentage,,,
E08000018,Rotherham ,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.7,Percentage,,,,67.5,Percentage,,,,74.2,Percentage,,,
E08000018,Rotherham ,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,70.2,Percentage,,,,76.2,Percentage,,,
E08000019,Sheffield,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.8,Percentage,,,,67.1,Percentage,,,,75.0,Percentage,,,
E08000019,Sheffield,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.8,Percentage,,,,66.2,Percentage,,,,73.9,Percentage,,,
E47000003,West Yorkshire,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,78.2,Percentage,,,,64.7,Percentage,,,,72.9,Percentage,,,
E47000003,West Yorkshire,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,77.9,Percentage,,,,66.3,Percentage,,,,73.9,Percentage,,,
E08000032,Bradford ,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.0,Percentage,,,,63.8,Percentage,,,,70.7,Percentage,,,
E08000032,Bradford ,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.1,Percentage,,,,63.7,Percentage,,,,71.0,Percentage,,,
E08000033,Calderdale,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,67.4,Percentage,,,,74.7,Percentage,,,
E08000033,Calderdale,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.7,Percentage,,,,69.0,Percentage,,,,76.5,Percentage,,,
E08000034,Kirklees ,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.7,Percentage,,,,65.3,Percentage,,,,73.2,Percentage,,,
E08000034,Kirklees ,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.9,Percentage,,,,67.5,Percentage,,,,75.0,Percentage,,,
E08000035,Leeds ,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.7,Percentage,,,,63.2,Percentage,,,,72.6,Percentage,,,
E08000035,Leeds ,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.7,Percentage,,,,65.3,Percentage,,,,73.7,Percentage,,,
E08000036,Wakefield,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.4,Percentage,,,,70.0,Percentage,,,,76.8,Percentage,,,
E08000036,Wakefield,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.0,Percentage,,,,67.9,Percentage,,,,75.7,Percentage,,,
E12000004,East Midlands,Region,2021-09-01T00:00:00/P1Y,%,79.4,Percentage,,,,67.2,Percentage,,,,75.2,Percentage,,,
E12000004,East Midlands,Region,2022-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,69.1,Percentage,,,,76.3,Percentage,,,
E47000013,East Midlands,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,68.3,Percentage,,,,75.6,Percentage,,,
E47000013,East Midlands,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,79.8,Percentage,,,,67.1,Percentage,,,,74.9,Percentage,,,
E06000015,Derby ,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,77.5,Percentage,,,,65.5,Percentage,,,,73.2,Percentage,,,
E06000015,Derby ,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,76.8,Percentage,,,,65.6,Percentage,,,,72.2,Percentage,,,
E06000016,Leicester,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,73.3,Percentage,,,,62.8,Percentage,,,,68.1,Percentage,,,
E06000016,Leicester,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,73.9,Percentage,,,,65.0,Percentage,,,,70.7,Percentage,,,
E06000061,North Northamptonshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,68.5,Percentage,,,,77.3,Percentage,,,
E06000061,North Northamptonshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,77.9,Percentage,,,,65.0,Percentage,,,,73.9,Percentage,,,
E06000018,Nottingham,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,76.5,Percentage,,,,64.4,Percentage,,,,71.4,Percentage,,,
E06000018,Nottingham,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,75.2,Percentage,,,,62.0,Percentage,,,,70.6,Percentage,,,
E06000017,Rutland ,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,86.2,Percentage,,,,74.3,Percentage,,,,82.6,Percentage,,,
E06000017,Rutland ,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,84.7,Percentage,,,,76.9,Percentage,,,,82.8,Percentage,,,
E06000062,West Northamptonshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,80.3,Percentage,,,,71.1,Percentage,,,,78.8,Percentage,,,
E06000062,West Northamptonshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,79.6,Percentage,,,,68.4,Percentage,,,,77.8,Percentage,,,
E10000007,Derbyshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,81.1,Percentage,,,,69.6,Percentage,,,,77.4,Percentage,,,
E10000007,Derbyshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,80.7,Percentage,,,,68.0,Percentage,,,,75.8,Percentage,,,
E07000032,Amber Valley,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.3,Percentage,,,,68.6,Percentage,,,,77.1,Percentage,,,
E07000032,Amber Valley,Local Authority District,2022-09-01T00:00:00/P1Y,%,82.1,Percentage,,,,70.6,Percentage,,,,78.4,Percentage,,,
E07000033,Bolsover,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.7,Percentage,,,,68.3,Percentage,,,,75.2,Percentage,,,
E07000033,Bolsover,Local Authority District,2021-09-01T00:00:00/P1Y,%,76.5,Percentage,,,,61.7,Percentage,,,,70.4,Percentage,,,
E07000034,Chesterfield,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.6,Percentage,,,,64.7,Percentage,,,,74.3,Percentage,,,
E07000034,Chesterfield,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.9,Percentage,,,,65.6,Percentage,,,,73.6,Percentage,,,
E07000035,Derbyshire Dales,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.3,Percentage,,,,72.2,Percentage,,,,78.7,Percentage,,,
E07000035,Derbyshire Dales,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.4,Percentage,,,,68.5,Percentage,,,,76.9,Percentage,,,
E07000036,Erewash,Local Authority District,2022-09-01T00:00:00/P1Y,%,81.8,Percentage,,,,68.7,Percentage,,,,76.1,Percentage,,,
E07000036,Erewash,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.9,Percentage,,,,65.9,Percentage,,,,73.1,Percentage,,,
E07000037,High Peak,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.1,Percentage,,,,70.4,Percentage,,,,76.4,Percentage,,,
E07000037,High Peak,Local Authority District,2022-09-01T00:00:00/P1Y,%,82.9,Percentage,,,,73.0,Percentage,,,,80.9,Percentage,,,
E07000038,North East Derbyshire,Local Authority District,2022-09-01T00:00:00/P1Y,%,81.6,Percentage,,,,70.1,Percentage,,,,79.4,Percentage,,,
E07000038,North East Derbyshire,Local Authority District,2021-09-01T00:00:00/P1Y,%,83.5,Percentage,,,,68.7,Percentage,,,,76.4,Percentage,,,
E07000039,South Derbyshire,Local Authority District,2022-09-01T00:00:00/P1Y,%,81.3,Percentage,,,,70.0,Percentage,,,,76.5,Percentage,,,
E07000039,South Derbyshire,Local Authority District,2021-09-01T00:00:00/P1Y,%,83.3,Percentage,,,,72.9,Percentage,,,,80.6,Percentage,,,
E10000018,Leicestershire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.5,Percentage,,,,70.8,Percentage,,,,79.2,Percentage,,,
E10000018,Leicestershire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,81.0,Percentage,,,,71.7,Percentage,,,,78.8,Percentage,,,
E07000129,Blaby,Local Authority District,2022-09-01T00:00:00/P1Y,%,82.6,Percentage,,,,73.1,Percentage,,,,82.0,Percentage,,,
E07000129,Blaby,Local Authority District,2021-09-01T00:00:00/P1Y,%,82.7,Percentage,,,,72.3,Percentage,,,,80.7,Percentage,,,
E07000130,Charnwood,Local Authority District,2022-09-01T00:00:00/P1Y,%,81.6,Percentage,,,,71.5,Percentage,,,,77.1,Percentage,,,
E07000130,Charnwood,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.9,Percentage,,,,69.5,Percentage,,,,78.2,Percentage,,,
E07000131,Harborough,Local Authority District,2022-09-01T00:00:00/P1Y,%,85.1,Percentage,,,,76.7,Percentage,,,,81.4,Percentage,,,
E07000131,Harborough,Local Authority District,2021-09-01T00:00:00/P1Y,%,87.0,Percentage,,,,76.7,Percentage,,,,84.5,Percentage,,,
E07000132,Hinckley and Bosworth,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.4,Percentage,,,,68.4,Percentage,,,,77.7,Percentage,,,
E07000132,Hinckley and Bosworth,Local Authority District,2021-09-01T00:00:00/P1Y,%,76.8,Percentage,,,,67.6,Percentage,,,,77.9,Percentage,,,
E07000133,Melton,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.8,Percentage,,,,69.2,Percentage,,,,78.1,Percentage,,,
E07000133,Melton,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.1,Percentage,,,,70.9,Percentage,,,,78.9,Percentage,,,
E07000134,North West Leicestershire,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.4,Percentage,,,,69.9,Percentage,,,,76.7,Percentage,,,
E07000134,North West Leicestershire,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,71.4,Percentage,,,,77.7,Percentage,,,
E07000135,Oadby and Wigston,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.3,Percentage,,,,70.4,Percentage,,,,77.9,Percentage,,,
E07000135,Oadby and Wigston,Local Authority District,2021-09-01T00:00:00/P1Y,%,80.1,Percentage,,,,69.2,Percentage,,,,76.7,Percentage,,,
E10000019,Lincolnshire ,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,80.1,Percentage,,,,66.8,Percentage,,,,74.7,Percentage,,,
E10000019,Lincolnshire ,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,79.6,Percentage,,,,70.0,Percentage,,,,76.7,Percentage,,,
E07000136,Boston,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.0,Percentage,,,,67.4,Percentage,,,,74.1,Percentage,,,
E07000136,Boston,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.0,Percentage,,,,62.3,Percentage,,,,71.9,Percentage,,,
E07000137,East Lindsey,Local Authority District,2022-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,70.3,Percentage,,,,75.4,Percentage,,,
E07000137,East Lindsey,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.1,Percentage,,,,63.3,Percentage,,,,71.0,Percentage,,,
E07000138,Lincoln,Local Authority District,2021-09-01T00:00:00/P1Y,%,74.7,Percentage,,,,60.7,Percentage,,,,69.3,Percentage,,,
E07000138,Lincoln,Local Authority District,2022-09-01T00:00:00/P1Y,%,76.2,Percentage,,,,65.4,Percentage,,,,72.0,Percentage,,,
E07000139,North Kesteven,Local Authority District,2021-09-01T00:00:00/P1Y,%,84.1,Percentage,,,,73.8,Percentage,,,,81.1,Percentage,,,
E07000139,North Kesteven,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.7,Percentage,,,,73.9,Percentage,,,,80.9,Percentage,,,
E07000140,South Holland,Local Authority District,2021-09-01T00:00:00/P1Y,%,77.7,Percentage,,,,63.8,Percentage,,,,73.2,Percentage,,,
E07000140,South Holland,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.4,Percentage,,,,69.8,Percentage,,,,75.9,Percentage,,,
E07000141,South Kesteven,Local Authority District,2021-09-01T00:00:00/P1Y,%,85.1,Percentage,,,,72.7,Percentage,,,,79.0,Percentage,,,
E07000141,South Kesteven,Local Authority District,2022-09-01T00:00:00/P1Y,%,81.6,Percentage,,,,71.8,Percentage,,,,80.2,Percentage,,,
E07000142,West Lindsey,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.1,Percentage,,,,66.6,Percentage,,,,73.8,Percentage,,,
E07000142,West Lindsey,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.6,Percentage,,,,69.4,Percentage,,,,75.6,Percentage,,,
E10000024,Nottinghamshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,81.5,Percentage,,,,68.9,Percentage,,,,76.5,Percentage,,,
E10000024,Nottinghamshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,80.4,Percentage,,,,69.7,Percentage,,,,77.0,Percentage,,,
E07000170,Ashfield,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,66.0,Percentage,,,,71.8,Percentage,,,
E07000170,Ashfield,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.4,Percentage,,,,62.6,Percentage,,,,69.1,Percentage,,,
E07000171,Bassetlaw,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.6,Percentage,,,,67.4,Percentage,,,,72.6,Percentage,,,
E07000171,Bassetlaw,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.9,Percentage,,,,70.7,Percentage,,,,75.5,Percentage,,,
E07000172,Broxtowe,Local Authority District,2021-09-01T00:00:00/P1Y,%,83.3,Percentage,,,,70.5,Percentage,,,,79.3,Percentage,,,
E07000172,Broxtowe,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.0,Percentage,,,,68.7,Percentage,,,,76.1,Percentage,,,
E07000173,Gedling,Local Authority District,2021-09-01T00:00:00/P1Y,%,84.3,Percentage,,,,72.0,Percentage,,,,79.9,Percentage,,,
E07000173,Gedling,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.4,Percentage,,,,73.5,Percentage,,,,81.5,Percentage,,,
E07000174,Mansfield,Local Authority District,2022-09-01T00:00:00/P1Y,%,75.3,Percentage,,,,64.5,Percentage,,,,73.2,Percentage,,,
E07000174,Mansfield,Local Authority District,2021-09-01T00:00:00/P1Y,%,76.8,Percentage,,,,63.5,Percentage,,,,73.3,Percentage,,,
E07000175,Newark and Sherwood,Local Authority District,2022-09-01T00:00:00/P1Y,%,80.4,Percentage,,,,70.3,Percentage,,,,79.4,Percentage,,,
E07000175,Newark and Sherwood,Local Authority District,2021-09-01T00:00:00/P1Y,%,81.9,Percentage,,,,68.6,Percentage,,,,77.0,Percentage,,,
E07000176,Rushcliffe,Local Authority District,2021-09-01T00:00:00/P1Y,%,87.1,Percentage,,,,74.5,Percentage,,,,82.2,Percentage,,,
E07000176,Rushcliffe,Local Authority District,2022-09-01T00:00:00/P1Y,%,87.8,Percentage,,,,77.9,Percentage,,,,84.5,Percentage,,,
E12000005,West Midlands,Region,2021-09-01T00:00:00/P1Y,%,77.6,Percentage,,,,66.3,Percentage,,,,73.5,Percentage,,,
E12000005,West Midlands,Region,2022-09-01T00:00:00/P1Y,%,78.1,Percentage,,,,68.2,Percentage,,,,75.1,Percentage,,,
E06000019,"Herefordshire, County of",County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,82.2,Percentage,,,,74.1,Percentage,,,,80.6,Percentage,,,
E06000019,"Herefordshire, County of",County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,84.0,Percentage,,,,74.7,Percentage,,,,80.2,Percentage,,,
E06000051,Shropshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,83.2,Percentage,,,,68.3,Percentage,,,,77.6,Percentage,,,
E06000051,Shropshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,83.3,Percentage,,,,70.7,Percentage,,,,80.3,Percentage,,,
E06000021,Stoke-on-Trent,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,74.9,Percentage,,,,62.4,Percentage,,,,69.8,Percentage,,,
E06000021,Stoke-on-Trent,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,74.2,Percentage,,,,63.5,Percentage,,,,69.4,Percentage,,,
E06000020,Telford and Wrekin,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,79.3,Percentage,,,,70.3,Percentage,,,,77.2,Percentage,,,
E06000020,Telford and Wrekin,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,77.0,Percentage,,,,67.9,Percentage,,,,73.5,Percentage,,,
E10000028,Staffordshire,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,81.6,Percentage,,,,71.4,Percentage,,,,78.7,Percentage,,,
E10000028,Staffordshire,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,82.0,Percentage,,,,70.4,Percentage,,,,77.9,Percentage,,,
E07000192,Cannock Chase,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.0,Percentage,,,,67.9,Percentage,,,,77.9,Percentage,,,
E07000192,Cannock Chase,Local Authority District,2022-09-01T00:00:00/P1Y,%,79.6,Percentage,,,,68.2,Percentage,,,,78.0,Percentage,,,
E07000193,East Staffordshire,Local Authority District,2022-09-01T00:00:00/P1Y,%,77.7,Percentage,,,,69.6,Percentage,,,,75.8,Percentage,,,
E07000193,East Staffordshire,Local Authority District,2021-09-01T00:00:00/P1Y,%,79.9,Percentage,,,,70.0,Percentage,,,,76.1,Percentage,,,
E07000194,Lichfield,Local Authority District,2022-09-01T00:00:00/P1Y,%,84.4,Percentage,,,,76.1,Percentage,,,,82.9,Percentage,,,
E07000194,Lichfield,Local Authority District,2021-09-01T00:00:00/P1Y,%,83.1,Percentage,,,,71.5,Percentage,,,,79.9,Percentage,,,
E07000195,Newcastle-under-Lyme,Local Authority District,2022-09-01T00:00:00/P1Y,%,82.2,Percentage,,,,70.4,Percentage,,,,78.6,Percentage,,,
E07000195,Newcastle-under-Lyme,Local Authority District,2021-09-01T00:00:00/P1Y,%,78.5,Percentage,,,,66.2,Percentage,,,,75.3,Percentage,,,
E07000196,South Staffordshire,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.6,Percentage,,,,74.5,Percentage,,,,80.8,Percentage,,,
E07000196,South Staffordshire,Local Authority District,2021-09-01T00:00:00/P1Y,%,85.1,Percentage,,,,71.8,Percentage,,,,78.5,Percentage,,,
E07000197,Stafford,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.8,Percentage,,,,72.5,Percentage,,,,78.9,Percentage,,,
E07000197,Stafford,Local Authority District,2021-09-01T00:00:00/P1Y,%,84.0,Percentage,,,,73.8,Percentage,,,,80.3,Percentage,,,
E07000198,Staffordshire Moorlands,Local Authority District,2021-09-01T00:00:00/P1Y,%,86.1,Percentage,,,,73.5,Percentage,,,,80.5,Percentage,,,
E07000198,Staffordshire Moorlands,Local Authority District,2022-09-01T00:00:00/P1Y,%,83.7,Percentage,,,,72.3,Percentage,,,,79.4,Percentage,,,
